Name,timestamp,Type,year,Total_amt_of_sale,maximum_sale_category,avg_discount,no_of_customers_visited,no_of_products_sold,duration_days,platform,campaign_budget,conversion_rate,returning_customers_percent,click_through_rate,impressions,payment_mode_used,avg_session_time,customer_rating_avg,top_selling_product
Flipkart Flash Sale in 2022! 0,2022-05-06 2:14:20,Flash Sale,2022,3320327.27,Beauty,54.37,45785,9000,1,Flipkart App,938000,3.61,43.49,2.9,399972,Debit Card,9.36,3.5,Perfume
Flipkart Big Billion Days Sale in 2021! 1,2021-12-28 17:08:34,Big Billion Days Sale,2021,4943877.87,Electronics,26.77,39433,3987,4,Twitter,811000,3.49,42.4,2.23,817957,Wallet,13.3,4.24,Laptop
Flipkart Deal of the Day in 2024! 2,2024-11-15 11:10:35,Deal of the Day,2024,4761454.56,Toys,48,46953,6131,2,Instagram,1872000,2.16,11.18,1.99,348795,Debit Card,12.76,4.34,Headphones
Flipkart Big Billion Days Sale in 2023! 3,2023-09-16 12:40:12,Big Billion Days Sale,2023,6228056.24,Electronics,28.29,46057,541,6,Twitter,1615000,3.32,32.23,4.41,584084,UPI,13.82,3.74,Smartphone
Flipkart No Cost EMI Sale in 2025! 4,2025-12-27 4:40:39,No Cost EMI Sale,2025,5057275.14,Beauty,62.82,35506,5505,7,Twitter,831000,3.31,64.8,3.74,346427,UPI,10.06,3.45,Shoes
Flipkart Clearance Sale in 2023! 5,2023-02-27 16:09:53,Clearance Sale,2023,1420321.37,Electronics,11.98,13290,6866,6,Flipkart App,3848000,2.28,43.97,1.09,437524,Cash on Delivery,14.3,2.8,Headphones
Flipkart No Cost EMI Sale in 2020! 6,2020-02-01 17:04:59,No Cost EMI Sale,2020,752371.49,Beauty,65.15,15769,7927,5,Twitter,7149000,0.43,12.08,3.27,307674,Debit Card,1.69,3.62,Perfume
Flipkart Winter Sale in 2021! 7,2021-12-10 7:32:47,Winter Sale,2021,220848.57,Home,14.84,26842,8387,1,Flipkart App,6234000,3.95,65.85,3.05,454283,Cash on Delivery,10.79,4.31,Laptop
Flipkart Big Billion Days Sale in 2025! 8,2025-11-30 1:10:14,Big Billion Days Sale,2025,2360383.97,Electronics,40.41,18476,8111,4,Instagram,5281000,1.85,24.98,2.35,344292,Cash on Delivery,1.08,3.2,Washing Machine
Flipkart Big Billion Days Sale in 2020! 9,2020-07-24 12:12:31,Big Billion Days Sale,2020,5491668.49,Toys,26.92,32933,3806,6,Facebook,7318000,1.31,10.91,1.75,98227,Wallet,8.23,2.59,Smartphone
Flipkart Summer Sale in 2021! 10,2021-08-26 16:54:34,Summer Sale,2021,1175720.93,Sports,59.97,46028,9973,3,Facebook,3912000,0.9,12.76,2.08,93975,UPI,1.16,3.37,Toys
Flipkart Flash Sale in 2025! 11,2025-01-13 15:23:07,Flash Sale,2025,3046021.04,Fashion,16.66,44672,1031,4,Twitter,2199000,4.1,79.06,2.4,21727,UPI,6.38,4.78,Laptop
Flipkart Monsoon Sale in 2021! 12,2021-07-26 6:40:29,Monsoon Sale,2021,7990688.68,Fashion,26.05,37515,9259,6,Twitter,6235000,3.64,64.73,1.99,126899,Wallet,6.71,3.29,Laptop
Flipkart Deal of the Day in 2024! 13,2024-05-21 18:26:26,Deal of the Day,2024,3895452.48,Toys,14.6,13041,8077,5,Facebook,6455000,4.35,72.51,4.72,40154,UPI,3.55,3.62,Washing Machine
Flipkart GOAT Sale in 2023! 14,2023-08-21 18:59:29,GOAT Sale,2023,7738915.91,Electronics,8.84,43071,6100,6,Twitter,2171000,3.8,67.5,4.41,313262,Debit Card,14.97,4.79,Books
Flipkart Festive Sale in 2025! 15,2025-05-16 22:30:30,Festive Sale,2025,2378387.96,Fashion,35.24,40986,2871,2,Twitter,685000,3.38,35.32,3.01,133846,Credit Card,5.67,3.84,Shoes
Flipkart No Cost EMI Sale in 2020! 16,2020-06-24 7:44:23,No Cost EMI Sale,2020,8132881.89,Fashion,50.2,47673,2188,7,Instagram,4415000,3.35,15,4.2,133006,Cash on Delivery,3.57,4.39,Toys
Flipkart Winter Sale in 2023! 17,2023-07-18 11:56:55,Winter Sale,2023,2635733.54,Toys,9.79,3205,4999,5,Twitter,4015000,4.96,15.03,2.93,599318,Cash on Delivery,2.48,3.37,Shoes
Flipkart Summer Sale in 2025! 18,2025-07-09 7:06:27,Summer Sale,2025,1945415.6,Beauty,54.8,1146,6836,1,Email,1624000,0.4,12.78,2.57,465129,Wallet,4.16,3.84,Smartphone
Flipkart No Cost EMI Sale in 2022! 19,2022-02-01 12:48:29,No Cost EMI Sale,2022,4940421.41,Toys,38.7,8033,1125,5,Facebook,6513000,3.15,60.69,1.61,470450,Debit Card,9.14,3.92,Toys
Flipkart Monsoon Sale in 2025! 20,2025-05-15 18:58:05,Monsoon Sale,2025,3657203.91,Electronics,45.81,19816,9250,7,Email,8150000,1.06,23.16,2.03,163261,Debit Card,3.83,4.49,Books
Flipkart No Cost EMI Sale in 2020! 21,2020-07-28 7:37:09,No Cost EMI Sale,2020,9249368.97,Fashion,41.85,19395,7717,7,Flipkart App,4439000,3.33,76.56,3.74,66469,Cash on Delivery,6.14,4.43,Smartphone
Flipkart Flash Sale in 2022! 22,2022-06-17 7:50:50,Flash Sale,2022,1732893.47,Sports,15.27,36477,6554,7,Twitter,9214000,3.83,66.5,1.75,629888,Cash on Delivery,1.87,4.09,Smartphone
Flipkart Winter Sale in 2022! 23,2022-06-24 19:09:22,Winter Sale,2022,5721718.43,Beauty,27.91,5493,8167,2,Twitter,6275000,4.17,79.66,1.84,424362,Wallet,14.94,2.91,Laptop
Flipkart Summer Sale in 2022! 24,2022-04-23 6:44:53,Summer Sale,2022,1240054.52,Beauty,51.55,49255,3578,6,Email,5144000,2.24,66.35,4.41,397973,Wallet,4.31,4.21,Perfume
Flipkart Big Billion Days Sale in 2021! 25,2021-12-24 14:15:44,Big Billion Days Sale,2021,7628990.44,Toys,20.78,7910,5386,6,Instagram,3882000,4.07,39.66,0.73,501372,UPI,10.57,3.91,Smartphone
Flipkart Deal of the Day in 2022! 26,2022-08-10 6:17:19,Deal of the Day,2022,2323328.66,Toys,51.2,7444,2778,4,Email,6622000,0.35,55.5,2.77,890662,Credit Card,5,3.88,Perfume
Flipkart No Cost EMI Sale in 2020! 27,2020-06-09 6:11:00,No Cost EMI Sale,2020,3990117.87,Beauty,58.78,15969,3180,6,Email,1694000,3.9,19.38,2.52,322544,Debit Card,3.77,4.21,Perfume
Flipkart GOAT Sale in 2021! 28,2021-03-19 15:40:44,GOAT Sale,2021,2236213.56,Toys,38.7,33551,8866,5,Flipkart App,5999000,4.07,18.87,3.87,323615,UPI,3.05,4.58,Books
Flipkart No Cost EMI Sale in 2021! 29,2021-05-23 6:15:24,No Cost EMI Sale,2021,3311574.8,Beauty,45.68,13202,6210,5,Email,9918000,2.75,76.66,1.77,748455,Wallet,4.79,2.81,Books
Flipkart Flash Sale in 2023! 30,2023-04-21 0:41:46,Flash Sale,2023,2639034.51,Books,19.7,7383,8751,4,Instagram,705000,4.83,27.03,1.17,785006,UPI,5.84,4.91,Headphones
Flipkart Summer Sale in 2023! 31,2023-04-05 7:36:26,Summer Sale,2023,2076265.31,Books,6.34,31336,2715,7,Email,6555000,4.38,27.74,3.91,262077,Debit Card,2.47,3.71,Laptop
Flipkart Deal of the Day in 2025! 32,2025-04-10 6:38:38,Deal of the Day,2025,9767793.42,Groceries,10.72,12316,3332,5,Facebook,3093000,4.18,10.44,1.79,496380,Cash on Delivery,5.68,2.93,Perfume
Flipkart Flash Sale in 2020! 33,2020-03-16 12:45:49,Flash Sale,2020,4925293.9,Books,26.22,19954,604,1,Instagram,6522000,3.34,38.5,4.78,270693,Debit Card,3.59,4.45,Smartphone
Flipkart Clearance Sale in 2021! 34,2021-09-17 16:36:28,Clearance Sale,2021,6562278.18,Beauty,65.04,31837,9131,3,Flipkart App,1528000,3.9,55.08,2.66,533225,Credit Card,5.94,4.05,Headphones
Flipkart Festive Sale in 2025! 35,2025-02-09 23:03:19,Festive Sale,2025,6133745.4,Toys,8.01,47849,9740,3,Flipkart App,3192000,0.44,39.77,2.35,617668,Wallet,14.8,4.73,Laptop
Flipkart Flash Sale in 2024! 36,2024-12-05 14:35:13,Flash Sale,2024,1912159.11,Sports,46.38,39738,7318,6,Email,9016000,1.13,12.79,0.86,459873,Cash on Delivery,12.86,3.25,Headphones
Flipkart Clearance Sale in 2024! 37,2024-06-04 10:03:13,Clearance Sale,2024,446197.13,Home,5.13,27652,8662,3,Email,1878000,3.52,79.92,2.25,299929,Debit Card,14.32,4.89,Perfume
Flipkart Winter Sale in 2021! 38,2021-03-23 15:26:38,Winter Sale,2021,9470268.44,Sports,10.99,26530,9900,2,Email,6166000,4.67,34.93,2.15,183068,Credit Card,6.66,3.05,Laptop
Flipkart Deal of the Day in 2021! 39,2021-03-19 10:31:59,Deal of the Day,2021,6807316.98,Home,69.09,17770,8516,3,Twitter,7528000,1.26,70.98,2.01,419826,Credit Card,11.75,3.58,Washing Machine
Flipkart Festive Sale in 2023! 40,2023-08-23 7:45:20,Festive Sale,2023,6372339.5,Sports,14.73,32088,7621,5,Flipkart App,9004000,1.6,17.98,4.89,282676,Credit Card,6.66,3.03,Laptop
Flipkart No Cost EMI Sale in 2021! 41,2021-09-27 0:27:42,No Cost EMI Sale,2021,5508421.74,Books,57.91,5565,2969,4,Email,7665000,4.21,39.77,4.13,756160,Cash on Delivery,1.89,3.36,Books
Flipkart No Cost EMI Sale in 2022! 42,2022-12-01 18:46:44,No Cost EMI Sale,2022,4041307.12,Electronics,8.3,29281,6361,4,Facebook,9129000,1.28,27.04,1.36,199871,Credit Card,10.08,3.41,Washing Machine
Flipkart Flash Sale in 2024! 43,2024-12-29 14:06:08,Flash Sale,2024,6571604.14,Sports,36,15710,895,7,Instagram,591000,1.17,46.79,3.33,485483,Wallet,8,3.26,Books
Flipkart Summer Sale in 2024! 44,2024-04-20 6:15:03,Summer Sale,2024,4329883.94,Home,21.8,19156,8334,6,Flipkart App,9211000,0.28,28.33,4.31,470550,Credit Card,10.35,3.88,Laptop
Flipkart Deal of the Day in 2022! 45,2022-06-21 14:40:10,Deal of the Day,2022,2681775.14,Electronics,63.56,18765,6104,5,Email,9595000,3.81,61.64,1.94,292551,UPI,8.4,4.28,Washing Machine
Flipkart Winter Sale in 2024! 46,2024-03-14 11:14:00,Winter Sale,2024,9521038.93,Home,18.54,19609,2585,1,Facebook,8584000,4.7,57.13,3.22,61274,UPI,14.8,4.92,Smartphone
Flipkart Festive Sale in 2022! 47,2022-11-15 6:21:25,Festive Sale,2022,2038755.31,Toys,49.53,6061,3447,7,Twitter,7793000,1.66,42.47,2.89,653704,UPI,2.35,3.35,Books
Flipkart Flash Sale in 2022! 48,2022-05-14 19:58:03,Flash Sale,2022,3011694.71,Beauty,58.36,17898,9594,4,Flipkart App,5183000,2.55,76.86,4.23,427970,Cash on Delivery,7.93,2.56,Books
Flipkart GOAT Sale in 2021! 49,2021-01-31 5:21:20,GOAT Sale,2021,6723246.96,Sports,51.8,34018,2297,4,Email,8106000,2.32,54.37,2.53,26955,Wallet,5.84,4.69,Headphones
Flipkart Festive Sale in 2025! 50,2025-03-19 18:46:09,Festive Sale,2025,4014236.63,Home,51.1,42390,5079,1,Facebook,8279000,2.61,18.9,1.4,363338,UPI,3.39,4.38,Washing Machine
Flipkart No Cost EMI Sale in 2025! 51,2025-06-29 13:35:24,No Cost EMI Sale,2025,1813875.21,Toys,29.2,44872,928,4,Facebook,3184000,2.94,75.94,1.04,829834,Cash on Delivery,2.84,4.54,Perfume
Flipkart Festive Sale in 2023! 52,2023-03-23 11:32:36,Festive Sale,2023,7810485.96,Electronics,45.71,8377,1305,6,Email,8464000,1.26,72.3,4.33,410451,Wallet,6.55,3.55,Washing Machine
Flipkart Festive Sale in 2020! 53,2020-03-28 3:26:11,Festive Sale,2020,3749242.2,Home,15.51,48964,6146,7,Facebook,6750000,2.82,26.6,3.91,166540,UPI,5.91,2.78,Toys
Flipkart Big Billion Days Sale in 2023! 54,2023-02-11 10:05:35,Big Billion Days Sale,2023,6331324.5,Groceries,22.45,17250,8741,7,Twitter,3992000,4.9,78.9,2.63,429381,Cash on Delivery,1.3,3.86,Headphones
Flipkart Monsoon Sale in 2025! 55,2025-09-15 16:56:37,Monsoon Sale,2025,8311189.02,Sports,60.57,3409,9112,2,Facebook,6562000,2.06,57.52,4.68,483248,Debit Card,4.36,3.72,Smartphone
Flipkart GOAT Sale in 2020! 56,2020-12-26 19:25:12,GOAT Sale,2020,1361095.23,Sports,18.46,35793,5010,6,Facebook,6057000,0.9,14.39,1.15,456250,Debit Card,13.31,4.44,Washing Machine
Flipkart Festive Sale in 2023! 57,2023-12-23 14:56:34,Festive Sale,2023,8233940.21,Electronics,39.86,28916,2763,5,Email,9139000,1.97,55.06,2.62,195208,UPI,10.4,3.12,Perfume
Flipkart Summer Sale in 2025! 58,2025-09-20 4:15:33,Summer Sale,2025,5053199.78,Electronics,69.56,37302,4125,3,Instagram,6166000,3.01,56.1,2.27,361269,Cash on Delivery,7.06,3.47,Laptop
Flipkart Festive Sale in 2021! 59,2021-10-31 21:53:33,Festive Sale,2021,262524.9,Electronics,12.68,4472,3968,2,Flipkart App,9260000,2.5,75.44,4.86,14041,Wallet,6.43,4.56,Shoes
Flipkart Flash Sale in 2020! 60,2020-03-30 14:23:11,Flash Sale,2020,1716336.38,Books,56.47,48257,3096,3,Flipkart App,2192000,2.31,12.83,3.11,357469,UPI,9.22,2.67,Books
Flipkart Flash Sale in 2023! 61,2023-03-15 0:27:39,Flash Sale,2023,398229.58,Fashion,49.99,23601,8134,3,Flipkart App,2524000,0.94,76.06,1.25,246718,UPI,10.74,3.03,Smartphone
Flipkart Clearance Sale in 2022! 62,2022-11-22 14:15:48,Clearance Sale,2022,2697743.67,Beauty,39.96,22085,7284,1,Facebook,7722000,3.61,65.98,2.79,327794,Cash on Delivery,1.86,4.05,Washing Machine
Flipkart No Cost EMI Sale in 2020! 63,2020-02-20 17:11:58,No Cost EMI Sale,2020,2729713.57,Sports,64.86,19148,8821,4,Instagram,4278000,1.69,31.66,1.6,556837,Debit Card,13.09,2.73,Headphones
Flipkart No Cost EMI Sale in 2025! 64,2025-05-04 13:51:15,No Cost EMI Sale,2025,4214055.21,Electronics,61.53,29306,7659,1,Facebook,4188000,1.65,27.98,4.43,713579,Wallet,7.46,3.13,Laptop
Flipkart Clearance Sale in 2024! 65,2024-05-14 0:57:00,Clearance Sale,2024,2886413.45,Sports,5.16,49446,9541,7,Flipkart App,4978000,3.83,76.04,1.29,736583,UPI,9.05,4.49,Toys
Flipkart Flash Sale in 2020! 66,2020-07-29 6:54:22,Flash Sale,2020,5579423.77,Sports,40.95,9783,519,2,Instagram,9123000,4.26,52.61,3.55,475650,Debit Card,5.78,4.56,Perfume
