Name,timestamp,Type,year,Total_amt_of_sale,maximum_sale_category,avg_discount,no_of_customers_visited,no_of_products_sold,duration_days,platform,campaign_budget,conversion_rate,returning_customers_percent,click_through_rate,impressions,payment_mode_used,avg_session_time,customer_rating_avg,top_selling_product
Flipkart GOAT Sale in 2020,26/10/2020,Festive Sale,2020,5477946.37,Books,,unknown,8770,2,Whatsapp,9353000,3.4,41.4,2.3,313130,UPI,12.37,4.24,Perfume
Flipkart Flash Sale in 2022,16/10/2022,Big Billion Days Sale,2022,2839691.46,Toys,N/A,unknown,3634,3,Email,4736000,2.79,67.44,1.23,894917,paytm,1.13,4.94,Perfume
Flipkart No Cost EMI Sale in 2024,06/06/2024,No Cost EMI Sale,2024,9214678.36,electrnics,N/A,9846,9421,7,Email,3973000,1.25,39.26,3.83,37782,UPI,3.05,4.29,Books
Flipkart No Cost EMI Sale in 2025,2025-02-16,GOAT Sale,2025,1067805.76,fashon,,27822,2990,4,Email,7246000,0.49,56.12,1.61,660006,Credit card,5.29,3.99,Laptop
Flipkart Clearance Sale in 2022,29/07/2022,Winter Sale,2022,5528931.06,fashon,N/A,27881,4251,1,FACEBOOK,,1.67,40.71,2.08,855370,Cash on Delivery,5.98,4.51,Toyz
Flipkart Clearance Sale in 2024,15/03/2024,Monsoon Sale,2024,9783664.01,,N/A,unknown,7086,2,Whatsapp,3330000,4.24,64.72,4.8,82395,Wallet,13.5,4.8,Shoes
Flipkart GOAT Sale in 2021,29/07/2021,Summer Sale,2021,2563428.63,electrnics,19.34,38492,2345,7,Whatsapp,1642000,2.51,58.86,0.83,61362,Credit Card,7.5,3.15,smrtphone
Flipkart No Cost EMI Sale in 2024,30/09/2024,GOAT Sale,2024,417314.18,,N/A,26412,7214,3,Twitter,7746000,1.73,40.31,3.92,103513,Credit card,11.5,4.47,Shoes
Flipkart No Cost EMI Sale in 2021,26/05/2021,Clearance Sale,2021,5656207.96,Fashion,N/A,12208,5853,4,Instagram,7549000,0.41,19.25,3.29,680914,Credit card,5.52,4.85,book
Flipkart Monsoon Sale in 2024,2024-03-22,Monsoon Sale,2024,755929.26,Electronics,N/A,36726,823,4,Whatsapp,1984000,3.22,29.88,1.97,373367,Cash on Delivery,1.24,3.07,book
Flipkart Flash Sale in 2024,11/10/2024,GOAT Sale,2024,2084381.66,Books,N/A,11665,4733,5,Whatsapp,3948000,4.74,36.16,3.87,278931,Debit Card,,2.99,Toys
Flipkart GOAT Sale in 2024,20/08/2024,Flash Sale,2024,8175382.72,Home,,unknown,7735,2,Email,1461000,4.28,32.4,4.5,526087,paytm,8.13,3.95,Washing Machine
Flipkart Summer Sale in 2020,24/07/2020,Monsoon Sale,2020,7507595.12,Toys,N/A,42482,8519,4,Facebook,5975000,1.58,11.75,3.92,232879,Wallet,8.74,3.86,book
Flipkart Deal of the Day in 2023,17/03/2023,Clearance Sale,2023,4297349.04,Beauty,N/A,unknown,6270,4,Twitter,2443000,2.46,18.4,0.72,35751,Cash on Delivery,5.7,4.2,Smartphone
Flipkart No Cost EMI Sale in 2022,09/08/2022,Flash Sale,2022,2841666.45,electrnics,41.05,unknown,2298,6,Instagram,5849000,1.21,65.85,3.05,228341,Wallet,4.45,2.86,Books
Flipkart Summer Sale in 2021,07/05/2021,Flash Sale,2021,3902751.38,,,12194,4454,3,Instagram,6816000,0.19,28.11,4.69,818169,Debit Card,6.67,4.49,Perfume
Flipkart Deal of the Day in 2022,17/08/2022,Winter Sale,2022,5220449.75,,N/A,unknown,4312,6,flipkart,9014000,2.91,47.5,2.21,234438,Cash on Delivery,6.76,4.35,book
Flipkart Summer Sale in 2021,27/02/2021,Flash Sale,2021,1162445.74,fashon,,4088,4463,3,Flipkart App,9093000,0.51,76,0.61,965083,COD,9.62,4.7,Shoes
Flipkart GOAT Sale in 2020,27/09/2020,GOAT Sale,2020,168623.88,electrnics,N/A,unknown,2768,2,flipkart,1475000,4.54,21.78,2.47,883776,Debit Card,10.89,2.95,Toys
Flipkart Festive Sale in 2021,24/11/2021,Summer Sale,2021,8998814.71,electrnics,68.01,4530,395,6,FACEBOOK,6737000,2.45,23.44,1.63,393546,Cash on Delivery,2.81,3.65,
Flipkart No Cost EMI Sale in 2023,19/09/2023,Clearance Sale,2023,5539665.51,electrnics,29.71,unknown,4706,6,Facebook,7392000,1.25,18.36,4.73,484190,Credit Card,11.57,4.98,Toys
Flipkart Clearance Sale in 2024,18/05/2024,Summer Sale,2024,1680605.89,Fashion,,unknown,507,7,Facebook,9818000,2.49,29.51,1.36,822154,paytm,6.08,4.97,Smartphone
Flipkart Deal of the Day in 2025,08/08/2025,Summer Sale,2025,3701168.15,Toys,N/A,unknown,8549,2,Whatsapp,8985000,0.37,71.21,2.02,87117,Cash on Delivery,2.47,3.8,Laptop
Flipkart GOAT Sale in 2025,14/10/2025,Monsoon Sale,2025,2764031.63,Fashion,,unknown,2175,2,Twitter,8988000,,62.71,1.18,304898,Debit Card,13.43,4.35,smrtphone
Flipkart Deal of the Day in 2021,16/12/2021,GOAT Sale,2021,3115639.81,Beauty,,22330,7385,2,FACEBOOK,670000,0.16,41.81,2.53,449430,Cash on Delivery,10.15,3.95,Toyz
Flipkart Deal of the Day in 2022,03/03/2022,Monsoon Sale,2022,2328345.73,Home,22.79,18947,4721,3,Email,5177000,4.63,71.83,3.35,550880,COD,1.12,2.7,
Flipkart GOAT Sale in 2022,10/05/2022,Festive Sale,2022,7688904.26,,N/A,29233,6741,3,Facebook,1735000,0.47,10.08,0.68,562577,UPI,4.94,3.93,Headphones
Flipkart Deal of the Day in 2022,22/10/2022,Big Billion Days Sale,2022,8549222.2,Beauty,,24009,9850,4,flipkart,3814000,0.8,70.11,3.08,307267,COD,,3.31,Shoes
Flipkart Deal of the Day in 2024,19/03/2024,No Cost EMI Sale,2024,,Sports,,unknown,7294,7,Email,4782000,1.63,66.3,2.18,336353,Wallet,13.02,4.82,smrtphone
Flipkart Big Billion Days Sale in 2022,2022-04-07,Summer Sale,2022,7401655.84,,,unknown,145,7,flipkart,3352000,1.77,24.18,1.52,643958,UPI,14.63,4.83,Toyz
Flipkart Summer Sale in 2023,11/06/2023,Winter Sale,2023,3007546.3,Beauty,,22773,6052,3,Whatsapp,6205000,4.01,77.49,1.12,973225,COD,5.46,3.76,Washing Machine
Flipkart Festive Sale in 2022,08/03/2022,No Cost EMI Sale,2022,306664.73,Fashion,N/A,35620,2302,6,Flipkart App,1981000,4.37,56.56,0.7,666953,Debit Card,11.73,4.69,Laptop
Flipkart Deal of the Day in 2023,16/06/2023,Winter Sale,2023,6771013.55,electrnics,N/A,24274,8495,7,Email,2626000,3.58,48.81,3.72,765897,Debit Card,12.26,2.72,Books
Flipkart Monsoon Sale in 2021,2021-05-06,Deal of the Day,2021,7054193.83,Electronics,53.67,10034,4176,6,Facebook,7861000,1.22,21.09,4.41,88091,Credit Card,6.41,4.28,Washing Machine
Flipkart Clearance Sale in 2025,2025-06-13,GOAT Sale,2025,,Fashion,11.33,1948,2570,3,Flipkart App,1454000,3.33,58.32,1.48,543182,Cash on Delivery,5.92,4.48,Toyz
Flipkart Winter Sale in 2021,07/03/2021,Big Billion Days Sale,2021,3299351.45,Electronics,,unknown,5452,3,FACEBOOK,3490000,2.75,34.06,0.9,246600,paytm,4.35,3.17,Smartphone
Flipkart Festive Sale in 2021,09/04/2021,Summer Sale,2021,4265786.04,electrnics,,15438,3978,4,Whatsapp,5875000,3.13,23.66,4.6,92191,UPI,8.45,3.17,book
Flipkart Big Billion Days Sale in 2021,15/11/2021,Flash Sale,2021,6380191.59,Groceries,N/A,43024,4740,4,flipkart,8020000,2.09,47.55,4.57,570113,Credit Card,3.3,4.46,book
Flipkart Flash Sale in 2025,25/11/2025,Monsoon Sale,2025,8985849.24,,N/A,unknown,3815,3,FACEBOOK,3563000,3.78,20.58,2.45,990105,Cash on Delivery,,3.86,Headphones
Flipkart Clearance Sale in 2025,18/06/2025,No Cost EMI Sale,2025,5149209.41,electrnics,N/A,unknown,7299,2,Flipkart App,6341000,2.05,71.11,3.44,465848,COD,12.44,4.63,smrtphone
Flipkart Deal of the Day in 2021,12/11/2021,Winter Sale,2021,5697563.29,Toys,,unknown,9947,6,Instagram,4302000,3.59,57.15,3.33,799285,UPI,13.06,4.39,Perfume
Flipkart Winter Sale in 2025,03/09/2025,Flash Sale,2025,6630952.08,Beauty,,unknown,875,1,Facebook,5657000,1,78.33,3.23,783073,Debit Card,13.87,4.49,Smartphone
Flipkart Flash Sale in 2021,31/07/2021,GOAT Sale,2021,685362.99,,,unknown,2884,5,Twitter,5288000,1.22,15.75,1.51,170498,Wallet,5.47,3.29,Smartphone
Flipkart Summer Sale in 2022,2022-06-02,Big Billion Days Sale,2022,3992188.87,fashon,,unknown,8484,2,Twitter,7799000,4.38,29.75,4.3,355689,Cash on Delivery,8.72,3.32,Toys
Flipkart Deal of the Day in 2021,13/11/2021,Summer Sale,2021,3241046.42,Beauty,N/A,27260,2971,7,Flipkart App,8651000,0.55,25.06,0.78,372192,Debit Card,12.32,3.22,Smartphone
Flipkart Winter Sale in 2021,18/10/2021,GOAT Sale,2021,6821837.28,,N/A,43614,5270,4,Flipkart App,6671000,1.59,11.3,4.19,213954,Credit Card,11.5,4.85,Perfume
Flipkart Festive Sale in 2023,02/11/2023,No Cost EMI Sale,2023,3060742.42,fashon,,9107,6220,6,Flipkart App,8281000,4.32,11.25,4.47,526585,Credit Card,4.93,3.88,Toys
Flipkart Winter Sale in 2022,03/03/2022,Monsoon Sale,2022,3972614.14,fashon,,unknown,8605,1,Twitter,8964000,2.58,16.15,4.3,150491,Credit card,5.49,3.92,Laptop
Flipkart Deal of the Day in 2024,09/04/2024,Deal of the Day,2024,8354733.79,Beauty,41.85,29402,3410,4,Instagram,2612000,1.69,44.73,2.16,293591,Wallet,14.04,3.6,Toyz
Flipkart Monsoon Sale in 2024,01/10/2024,No Cost EMI Sale,2024,326459.29,Fashion,36.61,unknown,7889,4,Whatsapp,1951000,2.66,58.43,3.75,182987,Credit card,7.92,3.86,Toys
Flipkart No Cost EMI Sale in 2024,04/02/2024,Big Billion Days Sale,2024,3795594.54,Beauty,,34124,2706,5,flipkart,578000,0.22,62.05,2.15,228581,UPI,12.31,2.53,Books
Flipkart Big Billion Days Sale in 2022,13/10/2022,Winter Sale,2022,3302425.08,Groceries,N/A,unknown,7065,1,Instagram,7471000,1.24,35.86,1.72,452463,UPI,3.62,2.79,book
Flipkart Flash Sale in 2024,24/08/2024,Festive Sale,2024,6546579.24,Groceries,48.65,unknown,3690,7,Facebook,6429000,3.12,60.52,1.96,53055,Cash on Delivery,12.94,2.61,Smartphone
Flipkart Summer Sale in 2025,01/08/2025,Summer Sale,2025,1083449.3,Home,,5358,7602,1,flipkart,3897000,0.76,31.73,2.05,664609,paytm,14.87,4.19,Laptop
